userName;score;at;content;label
supra 99;1;16/07/2023 06.00;waguasu;negatif
Naufal Fitra Asshidiqi;1;15/07/2023 23.53;Buruk, lebih baik Twitter;negatif
A. RAFLY SAHRUL RAMADHANY MIFTHAH (rulshrm);1;15/07/2023 23.28;anjojing;negatif
Astri SakuraOfficial;4;15/07/2023 21.53;gtw mls pgn bli treuk.;positif
Aghna Faqih;5;15/07/2023 17.33;Bagus sih... Tapi kalau bisa tingkatkan lagi bisa untuk upload dari Instagram langsung bisa masuk ke Threads. Jadi tidak perlu upload dua kali ke Instagram dan Threads. Lebih simpel dan praktis. Seperti buat story dari Instagram ke FB;positif
Dede Agung Bachtiar;1;15/07/2023 17.13;jelek, ga follow tapi muncul di feeds. balik ke twt aja kalo gini.;negatif
Raditya Prasetyo;4;15/07/2023 15.31;Lebih menarik kalo di tambah fitur trending dan semacamnya. Jadi bisa tau apa yang sedang ramai di sosial media;positif
Rivaldo Pires;5;15/07/2023 15.19;mantap;positif
Angger Febrian eko;3;15/07/2023 14.42;Foto profil di akun threads belum bisa dilihat;netral
Adit Prasetio;3;15/07/2023 14.41;scroll glitch;netral
muhammad amin;4;15/07/2023 14.14;nice;positif
Anastasya Varissa;4;15/07/2023 13.40;Not bad;positif
Aisyah Dzihni nazifa;5;15/07/2023 13.26;Seruuu;positif
Denia's channel;1;15/07/2023 13.22;akun Ig ditangguhkan, nggak tau masalah apa, katanya melanggar peraturan, padahal kerjaku cmn ngelike sama nge scroll. udh banyak korbanny;negatif
Esa Kian Arjuna;1;15/07/2023 12.30;Selebgram;negatif
Anan Tri;3;15/07/2023 11.37;Akan lebih bagus jika ditambah fitur baru seperti trending topic dan hastag, itu akan sangat membantu, terimakasih!;netral
Ngondek is real;5;15/07/2023 11.33;Aplikasinya bagus dan untuk Elon dan Zuckerberg infokan yang menang siapa dan maklum kalo masih sedikit fitur karena masih dalam pengembangan atau masih aplikasi baru;positif
Chandra;3;15/07/2023 11.23;butuh fitur save foto & translate, kalo perlu trending sama hashtags sekalian;netral
Krisna Novianto;3;15/07/2023 10.15;Apik sih oke;netral
VERO;2;15/07/2023 10.06;Ini masih banyak kekurangan, 1. Tidak ada terjemahan padahal yang mengunakan berbagai negara. 2. Tidak bisa mengirim pesan. Catatan: jangan pernah ada iklan di threads supaya tidak menjengkelkan. Cukup Instagram yang banyak iklan threads jangan. Thank you:);negatif
Dina Afrilia;5;15/07/2023 09.54;"للهم صل على سيدنا محمد ""Allah mengujimu kita dengan sesuatu yang kita cintai, maka janganlah berlebihan mencintainya, agar saat sedih tidak berlebihan""";positif
R De Hud;1;15/07/2023 09.16;Ga bisa di akses sama sekali;negatif
Muhammad Bagus;5;15/07/2023 09.13;Tambah kan fitur simpan foto;positif
Sabil Galau;5;15/07/2023 09.12;Saya tidak sengaja menghapus lencana treads di ig bagaimana cara untuk saya mengembalikannya;positif
CLEO NAD;2;15/07/2023 08.24;TOLONG KEMBALIKAN NOMOR USER PADA PROFIL;negatif
Isabell Alika Putri;1;15/07/2023 07.03;hapus thread=hapus ig gak tuh;negatif
Vania Eka A;4;15/07/2023 06.20;90/100. but how to overcome the mutualan limit how? I have been experiencing a limit for a long time, please answer my question;positif
08_J_Andre Joan Haloho;4;15/07/2023 06.07;Copyright from Twitter wkwk;positif
Rahel Winner;1;15/07/2023 05.58;Data valid tidak sinkron, alamat dan tipe hp lain antara IG ke Threads nya;negatif
Alfredo Zenitho;5;15/07/2023 05.47;The app is really cool;positif
Saskia Argita Laurella;3;15/07/2023 05.39;gak ada translate -_-;netral
Jazuli Mochammad;2;15/07/2023 04.58;Id nya ganti;negatif
Muhammad Baharuddin Al Fahmi;5;15/07/2023 02.39;Belum bisa memahami tp mencoba untuk memahami;positif
Siska Yulia;2;15/07/2023 01.32;Nyesel gua download, setelah download ini malah akun ig sering kena pelanggaran padahal ga ngapa ngapain, sampe gabisa akses beberapa hari;negatif
mister krempeng;3;15/07/2023 00.55;Tolong perbaiki bug wktu ngelihat followers dan following akun threads,kdg ga bisa di lihat,di refresh berkali kali ttp ga bisa;netral
Zjraa Lovr;1;15/07/2023 00.44;NGESELIN BANGET GA BISA DI HAPUS HAPUS PADAHAL UDAH NUNGGU DARI KEMARIN;negatif
rsyaa hd;5;15/07/2023 00.31;min tambahin fitur download nya dong kaya misalkan kita liat foto trs di pojok kiri atas ada downloader nya gitu seperti twitter dan hal sebagainya mohon di baca min..;positif
Gresia Ivanka;3;15/07/2023 00.08;Masih terdapat beberapa bug. Dan belum ada translate bahasa.;netral
Elsa Maulidya Rahmania;1;14/07/2023 22.56;setelah meng download aplikasi ini akun Instagram saya hilang;negatif
Panji Laras;5;14/07/2023 22.55;Threads is good;positif
Fadilah Nur achyat;2;14/07/2023 22.38;Namanya juga mau mutualan di threads eh malah kena blokir Instagram nya jadi gak bisa maen threads karena melanggar komunitas karena terlalu banyak pengikut dan penyuka dalam satu waktu-_- hadeuhh apasih;negatif
Alek Saputra;1;14/07/2023 18.58;Apknya kurang workit buat kita² yg followers Ig nya pertahun nambah satu soalnya di apk ini yg di rekomendasikan min followersnya 10k ke atas keknya;negatif
Cojelek Bt;1;14/07/2023 18.50;Tidak bisa masuk aplikasi;negatif
Afan Maulana;1;14/07/2023 18.11;Tolong dibantu untuk yg ga sengaja hapus lencana biar bisa dibantu untuk mendapatkan lencana lagi;negatif
Mas Iing;4;14/07/2023 17.04;App yg biasa aja. Cm lbh simple sih.;positif
Muhamad Safri;3;14/07/2023 16.44;Scrolling aja seret seret bug nya banyak;netral
M Han_;1;14/07/2023 16.08;Akun saya kenapa di blokir? padahal ngga ada melanggar rules;negatif
helen rms;1;14/07/2023 15.51;Kya twitter gk guna maaf yo mark sya uninstal 😂😂😂;negatif
Andra Teja;5;14/07/2023 15.29;Good;positif
Robert Fatrian;1;14/07/2023 15.24;Akun ig ak hilang gara² apk nii;negatif
Dwi Alamsyah;1;14/07/2023 15.23;keamanan nya cacat;negatif
Suryo Mukti Nugroho;5;14/07/2023 14.58;Lupa rating:v;positif
Hatan Keren;5;14/07/2023 14.34;Keren simpel;positif
Salsa Salsa;1;14/07/2023 14.17;Kenapa kalau kita hapus threads akun ig ikut ilang;negatif
Rebell;1;14/07/2023 14.02;Gak bisa post link bebas seperti twitter;negatif
Niswatun very indah;3;14/07/2023 13.45;Gak ada tools buat terjemahan bahasa asing, gak bisa save postingan orang, mungkin bisa diperbaiki lagi. Tools penting dari instagram masukin kesini dong;netral
ANDI WAHYUDI. S;5;14/07/2023 13.38;Good;positif
Amanda Aprillia;1;14/07/2023 13.17;Aku gue ke hackkk, ini ga ada keamanan akun apa gimnaaa???;negatif
Ela Pradina;2;14/07/2023 12.58;Gimana cara kembalikan lencana thread di bio ig yaa😭😭😭, update dong kembalikan lagiiii;negatif
Aulia Shizuka;3;14/07/2023 12.26;Masih banyak Bug;netral
Man Of Culture;1;14/07/2023 12.11;boring feed, it's full of celebrities;negatif
LEON ZE;3;14/07/2023 12.06;gatau nih coba dulu hal seh:v;netral
Muhammad Miftahul Hudha;4;14/07/2023 11.56;Not bad;positif
Luli Khairunnisa;1;14/07/2023 11.35;"Jngannn ada yang download lagiii. Akun Ig gw kan ke smbung Ama nii apk. Nah awal"" msi berfungsi normal akun Ig gw, tpi makin lma akun Ig gw gk bisa di masukin lgi.";negatif
Shalma Nur Maulida;2;14/07/2023 11.26;In advance thanks if you read this. I will give 5 stars if you present the translate feature, I had quite a hard time translating the quote uploaded by my idol, he uses Korean while I only understand Indonesian and also because I only understand a little English.;negatif
Qoridatul Munawaroh;1;14/07/2023 10.57;Aplikasi plagiat;negatif
ITY;5;14/07/2023 10.55;Bagus;positif
Shofia Adiya mca;5;14/07/2023 10.40;Lumayan bagus;positif
Fariz Hapisla;1;14/07/2023 09.45;Gara gara aplikasi ini, instagram aku ilang;negatif
PRIMA DONA;1;14/07/2023 09.18;Saya udah login aplikasi threads pakai Ig tapi di tolak mungkin karena saya bukan seleb kali 👎👎👎👎👎👎👎👎👎;negatif
Syafira Septiana;4;14/07/2023 08.55;Seneng bgt bisa bergabung disini🥰✨;positif
NMYTC Molana;3;14/07/2023 08.53;Sebenarnya mau kasih bintang lima tapi kali ini 3 aja soalnya pas mau bagi postingan threads di instagram kok nggak bisa pake musik tolong perbaikannya 😌😌😌😌.;netral
mania bogor channel;1;14/07/2023 08.34;apk kok plagiat;negatif
Abel;3;14/07/2023 08.19;Make following timeline pls;netral
Rizky naufal Hanif;1;14/07/2023 08.17;Pas masuk apk malah eror;negatif
Akun Formuaic;1;14/07/2023 06.48;Bio ig menjadi jamet;negatif
Gerry;1;14/07/2023 06.36;Untuk hp spesifikasi rendah ga layak. Tampilan hancur;negatif
Agoes Kosasi;5;14/07/2023 06.35;Ok!!;positif
swqbdrpp;4;14/07/2023 06.27;Saya kasih 4 dulu. Karna menurut saya kurang enak kalau berandanya isinya random sama orang yang ga kita follow. Jadi kalo bisa di pisah antara explore sama following;positif
Gagat Putra;2;14/07/2023 05.57;Can you consider make the upside or rotate version of the writing post page ? Because my phone error on the right side so i can't post... the postingan word actualy help than only posting;negatif
Sulthan Mujahid;2;14/07/2023 05.51;Ini gmn dah, padahal gk pernah sama sekali ngubah sandi akun. Tapi di bilang mengganti akun. Jadi nya gk bisa masuk;negatif
Millati Hanifah;1;14/07/2023 05.42;Punyaku cuma @ doang gak ada angkanya ,harusnya @123456 Minta solusinya ....;negatif
Mbah Irul Joyo nusantara;5;14/07/2023 05.10;Aplikaction terbaik;positif
Endah Susi;3;14/07/2023 04.45;Kok g ada terjemahannya aku mau tau post orang luar g ngerti bahasanya Fiturnya perlu ditambah agar lebih menarik;netral
keyren sakinah;5;14/07/2023 04.14;lumayan;positif
John Connor;3;14/07/2023 03.55;Aplikasi baru wajar memiliki banyak kekurangan atau bug ini itu. Cuma sejauh ini gw belum menikmati aplikasi nya. Lebih enak dan nyaman pake Twitter, You Know What I Mean?💀 Lebih singkatnya cuma penasaran pake apk ini. Fakyu buat bayar centang biru dan batasan tweet. Bodoamat gw juga bukan org penting yg harus pake verifikasi centang biru;netral
Nando Norhamitzen;5;14/07/2023 03.50;Plis Cari NandoFano ya;positif
Asnan Pamungkas;1;14/07/2023 03.28;Tidak menarik fiturnya;negatif
Naura Ayu Cordelia Purnomo;5;14/07/2023 02.38;Adain fitur translate pleaseee🙏🏻🙏🏻😓😓🥺;positif
Mekar Sari;4;14/07/2023 02.37;Mau posting foto susah bgt keluar Mulu dari aplikasi🥴;positif
Ananda Zia;5;14/07/2023 01.59;Baguss;positif
Ninda Candra Rini;5;14/07/2023 01.53;Bagus;positif
apri senanda;2;14/07/2023 01.17;Tolong timeline jangan berantakan dong. Sesuaikan dengan waktu update nya dan berurutan;negatif
Purna Nugraha;5;14/07/2023 01.14;Bagus 👍;positif
Dwy Sadoelláh;5;14/07/2023 01.14;Sosial Media yang keren!;positif
MUH AKBAR LALANG;4;14/07/2023 01.11;Belum dapat fitur terjemahan.;positif
RizzXz`々;1;14/07/2023 00.58;Hapus aja apk lu zukebeg;negatif
Rahman Habibie;2;14/07/2023 00.25;Jelek ni gk ad pokeb ny. Gk kayak yang di sebelah;negatif
Buat Palsu;3;14/07/2023 00.22;Perbaiki untuk terlihat Followers yang juga mengikuti kita agar lebih transparan dalam Menjalin Hubungan pertemanan.;netral
Hikmatul A'idah;5;13/07/2023 22.05;tolong adain fitur hemat kuota, soalnya threads ini videonya keputer otomatis dan bikin boros kuota.;positif
Lathif Ma'arif;5;13/07/2023 21.11;bagus sekali;positif
Amal Muamal Mannan;5;13/07/2023 21.00;👍🏻🙏🏻;positif
Khairul Insan Karim;4;13/07/2023 19.26;Sistem berteman aplikasi ini berdasakan following kita di instagram ya? Jadi ketika ada follwing kita buat akun threads otomatis ikuti akun threadsnya?;positif
Xiamiu User;4;13/07/2023 18.41;Ok;positif
Joe89 Art;4;13/07/2023 18.37;Thanks threads,this awesome app;positif
Nur Soleh;1;13/07/2023 18.34;Baru download tapi gak bisa masuk, padahal akun Instagram sudah punya, gimana ini?;negatif
Rotan Sidoarjo Official;3;13/07/2023 18.31;Mr.Elon Musk mulai gusar wkwk 😂 Blue sky sendiri 11-12 dengan Twitter LOL;netral
muhammad hasan;5;13/07/2023 18.18;Ayo om zuck saya pendukung mu om Moga bg elon modar sekali tonjok sama lu om;positif
Abraar Adly ghotfan;1;13/07/2023 17.53;Untuk login tidak bisa berulang kali sudah masukin kata sandi , kata sandi tidak cook;negatif
Rifky Nurzaini (Nimun);2;13/07/2023 17.18;Bug;negatif
Alizar;1;13/07/2023 17.11;Ini aplikasinya kenapa ya! padahal saya tidak ada follow orang tapi di notifikasi threads yang masuk ke saya kok saya bisa follow seseorang apakah memang seperti itukah? untuk loginnya juga menurut saya bisa di pisahkan saja kenapa harus di tautkan dgn aplikasi Instagram kenapa tidak di bikin login nya terpisah aja mungkin login nya bisa di buat menggunakan google atau kata sandi aja tersendiri? Jika mau menautkan aku Instagramnya mungkin bisa melalui pengaturan di aplikasi saja..;negatif
Afdal oficial;4;13/07/2023 17.06;Good;positif
Faveliant Satria;1;13/07/2023 17.03;Cencorship everywhere;negatif
Muhammad Hasan Shadiq;5;13/07/2023 17.00;Tolong adakan trending topic;positif
Susi Wanti;1;13/07/2023 16.35;Aku Dowload kenapa Tidak bisa dibuka Aplikasinya Kenapa ya padahak sinyak bagus 😴😴😴;negatif
Ani Chandra;4;13/07/2023 16.18;"Kasih 4 dulu karena di akun threads ku g bisa up foto atau vidio, padahal banyak tmn"" ku ko tetap sepi, apakah karena ngebug?";positif
ArdinaVerlia;1;13/07/2023 15.59;gak tau gunanya untuk apa;negatif
Rembulan Siang_Hari#;5;13/07/2023 15.28;Threads Tolong dong terjemahannya..,& Dark modenya,,,. oke aku akan tetap menunggu :);positif
Diah Ummatul Ravika;4;13/07/2023 13.51;"aplikasinya bagus, tapi akan lebih baik bisa diberikan fitur yang bisa ngeliat siapa yang gk follback kita, terus jangan terlalu dibatasi kegiatan kita seperti ngecek"" followers tiba"" eror gk bisa di cek lg hrus nunggu beberapa jam baru bisa baik lagi";positif
Cici Sefina;5;13/07/2023 13.31;"Bagus, cuman belum banyak penggunanya aja...optimalkan fungsi"" baru";positif
Arif Sofiyan;5;13/07/2023 13.10;Mudah ringan dan simple penggunaan nya, kerennn kayanya bakal jd tren baru nih;positif
mashelmy ellen;1;13/07/2023 12.39;Aplikasi koplak, Sok nyaingi twiter tapi bikin akun ke hack sama logout sendiri.;negatif
Ayu Wahyuni;5;13/07/2023 12.22;Sejauh ini bagus bangett...;positif
Donna Chiu;1;13/07/2023 12.16;Selalu ke force close setiap mau upload foto. Sudah laporin masalah tapi masih begitu juga.;negatif
Rizki Mitra Hamdani;5;13/07/2023 12.16;Aplikasi baru dan konten tekstual yang buat orang-orang gak melulu konten foto dan video...;positif
MUH ALVIN AJRY;4;13/07/2023 12.10;Yang ulasannya punya masalah, kekurangan, ini, dan itu, itu wajar karena masih blum dapet satu tahun pas launching. Masih ada perbaikan sana sini, dan butuh waktu juga agar threads bisa dibilang sempurna dari user² nya;positif
Imelda;1;13/07/2023 11.58;GARA GARA DIA AKUN IG AKU DI HACK NAJIS;negatif
MUHAMAD RIFKI SUMARNA;4;13/07/2023 10.30;Saya menemukan bug dimana saat melihat foto / video yang tampil di beranda maupun di akun orang lain, media tersebut tidak mau memperlihatkan gambar ataupun video padahal koneksi internet saya sangat teramat lancar.;positif
arul nasrulloh;5;13/07/2023 10.25;Kok aplikasi nya sama kaya Twitter ya 🗿🗿🗿🗿🗿;positif
Daud Krisman;5;13/07/2023 10.18;Bagus aplikasinya;positif
Aldy Ansyah;5;13/07/2023 10.05;Bagus banget;positif
Ahmad Syaidillah (Dillah);5;13/07/2023 09.51;Nice, zuck;positif
V Rush Baale;4;13/07/2023 09.50;we need translate fitur;positif
Putrinilam kesuma;1;13/07/2023 09.12;Bikin akun ke hack;negatif
Agung Prabowo;2;13/07/2023 08.36;Untuk upload foto atau fidio sering keluar sendiri di aplikasi Threads tolong di perbaiki lagi soalnya aplikasi ini baru locing aku pun baru bikin akun threads;negatif
bangbang Kepo;5;13/07/2023 08.29;Masih Penggguna Awal,, Lumayan Bagus sih... 😂🥰🥰🥰;positif
Wisnu Dimas andika;5;13/07/2023 08.27;Good;positif
Nadiatun Njw;5;13/07/2023 08.23;seruu;positif
sindi tiara dewi;4;13/07/2023 08.16;mau kasih saran nih kasih translate/terjemahan buat yang kek bahasa Korea atau Inggris, buat orang yang gk tau bahasanya di update lagi, biar bnyak yang dowload. terimakasih;positif
Mrsyd;3;13/07/2023 08.09;Algoritme nya kacau.;netral
Cipatuang Tabang;4;13/07/2023 07.46;Link terjemahan caption nya belum ada, semoga di maksimal kan;positif
Muhammad ridho alhabsyi;4;13/07/2023 07.25;Please the video in the threads has sound 🙏👍;positif
Aris Gmg;4;13/07/2023 06.09;Pesaing baru twitter;positif
Akerra San;1;13/07/2023 05.54;Enakkan Twitter masih bisa bebas berpendapat, percuma post kalau di batasi kebebasan berpendapat. Fitur yg memang gak mungkin didapatkan di apk ini dan hanya dimiliki Twitter hehe;negatif
Bilian Aditya;5;13/07/2023 05.45;Baru sih. Coba dulu;positif
Rafi Prastyo;5;13/07/2023 05.40;Bagus;positif
rijal mustofa;5;13/07/2023 05.38;Mantap keren;positif
Sriyani Buulolo;4;13/07/2023 05.35;Bagus;positif
Dhani Ell;1;13/07/2023 05.25;Akun gabisa dihapus gajelas;negatif
marceleenow;1;13/07/2023 05.16;ASTAGHFIRULLAH AKUN INSTAGRAM GWE KE HACK, PASSWORNYA JUGA DIGANTI;negatif
Zein Faradilla;2;13/07/2023 05.11;Home threads tidak bisa perbaharui kabar terbaru selalu begini;negatif
Fairus Syahbilla;3;13/07/2023 04.36;Bagus sih tapi sayang masih banyak error dan bug;netral
Imam Kurniawan;4;13/07/2023 04.32;Kurang fitur download gambar dan video;positif
Theo Wee;3;13/07/2023 04.16;Pas pasan;netral
Keifushiguro;1;13/07/2023 04.06;Ig gw jadi ngelag+error anjj;negatif
Farel Zikri Mulia;1;13/07/2023 03.47;Ngikut aja;negatif
Defy Fitri;5;13/07/2023 03.34;Aplikasi bagus dan mudah dipahami untuk pengguna pemula, tampilan nya mirip mirip Instagram kerennn, lucuuu gitu✨;positif
UKE IMUT;2;13/07/2023 02.58;kekuranganya di apk ini tidak bisa mencari sebuah postingan. beda dengan twiiter;negatif
ayu kwando;2;13/07/2023 02.33;ada pengucapan kata yang salah saat mau login di Threads.. tolong diperbaiki, terima kasih;negatif
Asnuri Noor;4;13/07/2023 02.28;Bagus;positif
Rama Cahya;3;13/07/2023 01.47;Masih terlalu sedikit fiturnya;netral
Haris udin febriansyah;1;13/07/2023 01.39;Aplikasi ini mesih banyak bug nya yah Masa aku udah mengikuti ko ga bisa yah keriset lagi terus kalo ngetik hurufnya hilang tolong ini min diperbaiki;negatif
Abdul Hakam;5;13/07/2023 01.23;Bagus ko su;positif
Kevin Wayazhi;4;13/07/2023 01.09;Fun sekali;positif
Fauzul Adim;1;13/07/2023 01.08;Pengen daftar thread app aja masa harus punya ig dulu;negatif
Kama;5;12/07/2023 23.52;Bagus, mirip Twitter;positif
23_Putu Dinda Sukanadi Pratiwi;2;12/07/2023 22.57;Benerin user interface dulu gih. Pusing w liatnya, jadi ga betah kan main threads;negatif
mboy;5;12/07/2023 22.57;Sebuah aplikasi yang indah;positif
Onie Dwianto;5;12/07/2023 22.16;👌🏻👍🏻🙏🏻;positif
Gilang 11;1;12/07/2023 22.03;Transisi nya ngebug tulisannya ngblur kaya hp rusak tapi hp gue masih normal;negatif
DdNur Alam;5;12/07/2023 21.55;GG gebrakan nya;positif
Faishal Hidayatullah;1;12/07/2023 21.07;Aplikasi gk seru;negatif
Fikri Fauzi;5;12/07/2023 18.37;Bagus bet sih Udah gitu doang;positif
Usamah 2010;1;12/07/2023 18.35;Udh download tpi ttp ae msh GAK bsa msk pdhl signal BAGUS!!!!!👊🏻👊🏻👊🏻👊🏻;negatif
Muhammad Qalbi Alkariim P;3;12/07/2023 17.59;tolong beri opsi untuk memunculkan lagi badge threads yang dihapus di profil ig.;netral
Faiz Jingga;5;12/07/2023 17.55;saya sangat mudah bercerita di platfrom ini , sangat membantu.;positif
Zefanya Rosa;5;12/07/2023 17.47;Very good and aesthetic Suggestions for the application, so you can download photos in threads;positif
Dilevia Dhalefa;2;12/07/2023 17.42;"There is still much to be added. like auto translation feature (this is very important), direct messages, photo save feature, ""light & dark"" mode, hashtags & trending, homepage view always shows that's it even though it's been refreshed. please fix the bug soon. Thank You";negatif
Alan;5;12/07/2023 16.48;tambahin fitur crop foto;positif
Rizki Romadhon;3;12/07/2023 16.43;I hope the timeline can be separated between for you and following so I can see my friends;netral
arya putra pradanaRW;2;12/07/2023 16.13;Yg ga di follow ga usah masuk home lah,bikin nyampah;negatif
Indra Vexed;3;12/07/2023 15.05;bagaimana jika user tidak ada akun istgaram ? kenapa tidak ada opsi bisa login dgn akun google / yahoo ?;netral
Faza Muallifah;1;12/07/2023 14.58;Kembaliin akun gua!! ga suka banget apk nya, gaada bagus bagus nya, gua hapus apk nya malahan di hack akun gua, emosi lama' sorry ni klo kata' nya ga sopan gua uda emosi bngt, sebisa mungkin kembaliin akun gua di situ banyak kenangan'an filter' ig gua, do your magic ig plis gua mohon!!;negatif
Santoni Toni;5;12/07/2023 14.56;Neh yg baru itu open clous ya masih manual udh di'otomatisin masih gtu ajj aneh 🤦🤦🤦;positif
Syakila Banar;5;12/07/2023 14.50;Tambahin fitur translate dongg....;positif
adyla frh;3;12/07/2023 14.48;tolong adakan fitur mengembalikan lencana threads yg di sembunyikan;netral
annda cenu;5;12/07/2023 14.22;Oke;positif
Rifki Gunawan;1;12/07/2023 14.10;Saya ganti lagi karna tolong aja nih ya cuma minta fitur tulisan jangan dibatas dan tambahkan hastag jangan lupa;negatif
Ishaq Khairul Fuad;5;12/07/2023 14.07;ok;positif
Ayu Rahmadani;1;12/07/2023 13.58;nyesell akun kena hack njr;negatif
Muhammad Andy Ardana;3;12/07/2023 13.58;Belum;netral
Rayhana Tuzzahra;1;12/07/2023 13.47;Ntah kenapa akunnya malah eror;negatif
KUSWANTORO;2;12/07/2023 13.40;Saran kalo bisa untuk download fotonya di adakan biar makin enak mau nyimpan;negatif
Ibrahim B;5;12/07/2023 13.35;Mas Elon suka aplikasi ini;positif
ITS` Julia;1;12/07/2023 13.08;Lokasi saya ada di Kalsel, tapi pas say login ada notifikasi dari Instagram bahwa saya login lokasi nya di Kalimantan Utara, tolong di perbaiki👎;negatif
Dhika Satoe;5;12/07/2023 12.45;Tambahkan feature messages;positif
Arief Fadillah;5;12/07/2023 12.44;Ditingkatkan terus aplikasi nya, agar bisa semakin sempurna & bisa bersaing dengan aplikasi yang lain;positif
Azhela ayla Zaliyana;3;12/07/2023 12.38;semalem keknya bikin threads tapi pas pagi threads nya ilang, baru muncul kebesokannya lagi. apakah ini termasuk bug???? mohon ditingkatkan lagi y;netral
Kadol Pranowo;4;12/07/2023 12.35;Oke;positif
MUHAMAD FIQKRI;5;12/07/2023 11.54;App ini enak kalo kita famous. Kalo gak famous berasa orang gila yang bicara sendiri.;positif
dicky solo_travel;5;12/07/2023 11.37;Thanks for making this app,Marc;positif
MOCH HUDA;4;12/07/2023 10.29;Masih sering bug... 😇;positif
Reyhan Ahmad Hafidz;5;12/07/2023 10.19;I really like this ✨;positif
Sariyadi Oerip;4;12/07/2023 10.06;Sementara masih keliatan bagus tapi masih butuh banyak penyempurnaan;positif
Pande Devata;1;12/07/2023 09.57;Anda sudah log uot👎 terus gitu aja;negatif
Nurhadi wibowo;3;12/07/2023 09.56;Bug nya cukup riskan ya bro;netral
Dhimas Satya Yunanto;5;12/07/2023 09.51;Next pembaruan aplikasi yg akan datang, kalo bisa ada fitur download fotonya dong kak, seperti di Facebook;positif
SYAHRUMANZ;5;12/07/2023 09.22;Saya pengguna baru di aplikasi ini dan aplikasinya sangat baik dan bagus;positif
aldosyg;5;12/07/2023 08.58;i love u michie;positif
Damaian Abiyyu;4;12/07/2023 08.56;Aplikasinya sudah hanya saja tidak ada fitur terjemahan;positif
Fauzan Algibran;4;12/07/2023 08.44;Sangat baguss 👍👍;positif
Trie Handayani;1;12/07/2023 08.35;Tidak bisa mengunggah foto. Mohon diperbaiki;negatif
Milka Nurbani Yusuf;5;12/07/2023 07.49;I'm very satisfied with this threads application, it's really fun this application can add friends all over the world 🙏;positif
MonJhie Design;5;12/07/2023 07.07;Bagus dan aman;positif
Syammil Afif;5;12/07/2023 06.52;Namanya juga permulaan😁;positif
Nadhif Faiz;5;12/07/2023 06.25;Aplikasi nya Bagus 😁;positif
Aulia Putry787;4;12/07/2023 06.10;Apk bagus mohon di kasih tambahan translate agar mempermudah dari pada bolak-balik ke google translate;positif
Dicky Marcellino;5;12/07/2023 05.56;Mantap;positif
Dedik Setyawan;4;12/07/2023 05.54;Siiip;positif
Zulfan Hibatullah;1;12/07/2023 05.44;Threads goes brrr, bug nya banyak;negatif
Restu Feb;5;12/07/2023 05.37;ok;positif
M Hilhan;1;12/07/2023 05.15;Terjemahan indonya dong;negatif
yusuf Mansur;2;12/07/2023 04.35;Kasih bintang 2 aja dlu krna blm d cbs gmna.klw gk ada bug nya ksih bntang 5;negatif
Eneng Nisrina;3;12/07/2023 04.21;Baru juga download langsung Nemu bug🗿🗿🗿;netral
Poly Rhythm;1;12/07/2023 04.01;How to download anything from Threads? Pics, vids, how to share a post to other app and I don't see translate button. Basically I can't do anything from this app;negatif
Mįšš Qůěěň;1;12/07/2023 03.59;Apk nya bagus 🥰;negatif
一Kafuu tsukasa一;1;12/07/2023 03.25;Ribet harus punya akun ig dulu;negatif
Rizky Pratama_061;5;12/07/2023 03.18;Mirip twitter katanya tpi belum serame itu;positif
Rona Asilla;5;12/07/2023 02.01;Apk nya bagus;positif
Rizky Rivaldi;5;12/07/2023 01.55;Tolong fiturnya di tambahin ya pak mark, kyk missal dm, buat share vidio ke wa dll tanpa link, jadi langsung vidio gtu.;positif
Riffki Ardimas Gati Eksa Putra;1;12/07/2023 01.42;Ga bisa masuk 🙏🏾;negatif
Amansyah Baso;5;12/07/2023 01.25;Saya mau jadi seleb utas;positif
Maryo Anfal;5;12/07/2023 01.15;Aku suka aplikasi ini.. 😍;positif
William Amstood;1;12/07/2023 00.58;Ig saya ngebug setelah ditambahkan threads. Tolong perbaiki.;negatif
Riyan Arrusdi;4;12/07/2023 00.54;Bagus sih tapi banyak fitur yg GK ada seperti translate dan ku maklumi karena app baru;positif
Sandi Y;1;12/07/2023 00.03;Belum sempurna kah?;negatif
theresia anik;3;11/07/2023 23.52;Aku kasih bintang 3 dulu semoga bisa diperbaiki kedepannya, catatanku : belum ada fitur translate, beranda masih campur aduk padahal tidak memfollow, tidak ada tema untuk tampilan dark mode, fitur auto following dihilangkan saja, ada pilihan untuk hapus akun, tidak ada bookmark Semoga jadi perhatian terimakasih;netral
Nababans Moba;5;11/07/2023 23.40;Ok;positif
Juni Faridah;4;11/07/2023 23.24;Ckup dilihat saja;positif
Hax En;1;11/07/2023 22.44;Tolong perbaiki. Buka thread biasa. Tp setelah nonton youtube 30menit dan ada notofikasi thread( maaf saya lupa karna panik) hp sy hang layar hidup tp touchscreen mati. cuma aktif tombol on off layar aja. Terpaksa force off vòlume bawah n tombol on off...sy pengguna samsung m30 Bintang 1 sebelum difix..ok;negatif
Bang Gunawan;1;11/07/2023 22.35;Twitter is still better. Threads ini isinya cuman artis dan selebgram caper yang haus engangement, selebihnya gak ada yang bagus dari aplikasi ini.;negatif
this puyuh;1;11/07/2023 22.30;Bug gak ngerti lagi saat scrolling Threads tiba-tiba semua tampilan huruf saling bertumpukan tidak karuan sangat parah;negatif
